10, 0.35413, 0.005
20, 0.06363, 0.005
30, 0.05196, 0.005
40, 0.04926, 0.005
50, 0.04781, 0.005
60, 0.04322, 0.005
70, 0.04328, 0.005
80, 0.04175, 0.005
90, 0.04238, 0.005
100, 0.04313, 0.005
110, 0.04104, 0.005
120, 0.03325, 0.005
130, 0.03816, 0.005
140, 0.03744, 0.005
150, 0.03091, 0.005
160, 0.03496, 0.005
170, 0.03172, 0.005
180, 0.03492, 0.005
190, 0.03083, 0.005
200, 0.03311, 0.005
210, 0.03249, 0.005
220, 0.03066, 0.005
230, 0.02883, 0.005
240, 0.03087, 0.005
250, 0.03472, 0.005
260, 0.02889, 0.005
270, 0.02885, 0.005
280, 0.02997, 0.005
290, 0.02661, 0.005
300, 0.02843, 0.005
310, 0.02630, 0.005
320, 0.02489, 0.005
330, 0.02497, 0.005
340, 0.02340, 0.005
350, 0.02747, 0.005
360, 0.02307, 0.005
370, 0.02398, 0.005
380, 0.02625, 0.005
390, 0.02632, 0.005
400, 0.02181, 0.005
410, 0.02404, 0.005
420, 0.02419, 0.005
430, 0.02428, 0.005
440, 0.02543, 0.005
450, 0.02550, 0.005
460, 0.02140, 0.005
470, 0.02085, 0.005
480, 0.02167, 0.005
490, 0.01979, 0.005
500, 0.01528, 0.005
510, 0.02078, 0.005
520, 0.01861, 0.005
530, 0.01959, 0.005
540, 0.02235, 0.005
550, 0.01954, 0.005
560, 0.01934, 0.005
570, 0.02046, 0.005
580, 0.01613, 0.005
590, 0.01867, 0.005
600, 0.01958, 0.005
610, 0.01807, 0.005
620, 0.01904, 0.005
630, 0.01616, 0.005
640, 0.01598, 0.005
650, 0.01813, 0.005
660, 0.01812, 0.005
670, 0.01699, 0.005
680, 0.01835, 0.005
690, 0.01815, 0.005
700, 0.01671, 0.005
710, 0.01404, 0.005
720, 0.01640, 0.005
730, 0.01544, 0.005
740, 0.01588, 0.005
750, 0.01737, 0.005
760, 0.01663, 0.005
770, 0.01567, 0.005
780, 0.01940, 0.005
790, 0.01940, 0.005
800, 0.01648, 0.005
810, 0.01819, 0.005
820, 0.01468, 0.005
830, 0.01265, 0.005
840, 0.01632, 0.005
850, 0.01581, 0.005
860, 0.01344, 0.005
870, 0.01578, 0.005
880, 0.01347, 0.005
890, 0.01394, 0.005
900, 0.01326, 0.005
910, 0.01230, 0.005
920, 0.01446, 0.005
930, 0.01172, 0.005
940, 0.01602, 0.005
950, 0.01325, 0.005
960, 0.01514, 0.005
970, 0.01268, 0.005
980, 0.01340, 0.005
990, 0.01264, 0.005
1000, 0.01330, 0.005
1010, 0.01260, 0.005
1020, 0.01344, 0.005
1030, 0.01347, 0.005
1040, 0.01153, 0.005
1050, 0.01274, 0.005
1060, 0.01323, 0.005
1070, 0.01281, 0.005
1080, 0.01299, 0.005
1090, 0.01098, 0.005
1100, 0.01224, 0.005
