scorer,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas
bodyparts,reye,reye,leye,leye,frleg,frleg,flleg,flleg,brleg,brleg,blleg,blleg,tailbase,tailbase,midtail,midtail,centerbody,centerbody
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\lion10_Trim2\img001.png,332.94854673998424,121.4236449332285,,,317.1119402985074,174.21233307148452,268.722309505106,170.6930871956008,199.21720345640216,179.49120188531015,,,167.54399057344853,194.44799685781607,187.77965435978,153.09685781618214,254.64532600157105,123.1832678711703
labeled-data\lion10_Trim2\img004.png,329.4293008641005,115.26496465043192,,,304.79457973291437,169.81327572662985,266.0828750981932,170.6930871956008,194.8181461115475,182.13063629222302,,,159.6256873527101,190.0489395129614,186.02003142183815,161.89497250589147,257.28476040848386,113.50534171249001
labeled-data\lion10_Trim2\img007.png,324.1504320502749,114.38515318146096,,,296.87627651217593,169.81327572662985,266.0828750981932,175.09214454045548,181.6209740769835,183.01044776119386,211.53456402199527,170.6930871956008,152.5871956009426,189.16912804399044,180.74116260801253,158.37572663000776,251.12608012568734,114.38515318146096
labeled-data\lion10_Trim2\img009.png,323.270620581304,115.26496465043192,,,289.83778476040845,170.6930871956008,272.2415553809898,166.29402985074614,176.34210526315786,183.89025923016482,213.29418695993712,174.21233307148452,141.14964650432046,190.92875098193235,173.70267085624505,163.6545954438334,242.32796543597794,111.7457187745481
labeled-data\lion10_Trim2\img015.png,319.75137470542023,112.62553024351917,,,275.7608012568735,165.41421838177519,301.2753338570306,156.61610369206585,160.50549882168104,177.73157894736835,214.17399842890808,175.97195600942644,,,,,250.24626865671638,117.02458758837383
labeled-data\lion10_Trim2\img017.png,554.6610369206599,148.69780047132747,,,555.5408483896308,271.8714061272584,,,375.1794972505891,293.86669285153175,,,202.73644933228587,282.42914375490955,259.9241948153967,307.06386488609576,426.2085624509034,212.9240377062057
labeled-data\lion10_Trim2\img019.png,547.6225451688923,148.69780047132747,,,547.6225451688923,273.6310290652002,,,369.0208169677926,292.9868813825608,,,193.93833464257654,279.7897093479968,269.60212097407697,303.54461901021205,433.2470542026708,213.80384917517665
labeled-data\lion10_Trim2\img026.png,530.0263157894736,149.57761194029842,,,522.1080125687353,270.99159465828745,,,349.664964650432,294.7465043205027,,,176.34210526315786,287.70801256873517,244.08758837391986,300.9051846032992,401.5738413197172,211.16441476826378
labeled-data\lion10_Trim2\img033.png,507.15121759622934,148.69780047132747,,,502.7521602513747,271.8714061272584,,,324.1504320502749,295.62631578947355,,,147.30832678711698,290.34744697564804,203.61626080125683,306.1840534171248,389.2564807541241,214.6836606441476
labeled-data\lion10_Trim2\img034.png,503.63197172034563,148.69780047132747,,,498.35310290652,272.75121759622925,,,323.270620581304,296.5061272584445,,,151.70738413197165,289.4676355066771,215.05380989787898,303.54461901021205,383.09780047132756,213.80384917517665
labeled-data\lion10_Trim2\img045.png,472.83857030636295,153.09685781618214,,,472.83857030636295,274.51084053417117,,,299.51571091908875,292.10706991358984,115.63511390416335,287.70801256873517,187.77965435978,307.9436763550667,350.54477611940297,213.80384917517665,,
labeled-data\lion10_Trim2\img046.png,473.7183817753338,151.33723487824022,,,472.83857030636295,272.75121759622925,,,295.1166535742341,297.38593872741546,,,112.99567949725053,291.2272584446189,195.69795758051845,306.1840534171248,356.7034564021995,213.80384917517665
labeled-data\lion10_Trim2\img052.png,464.0404556166535,151.33723487824022,,,463.16064414768266,270.99159465828745,,,285.4387274155538,290.34744697564804,,,100.67831893165746,295.62631578947355,177.22191673212876,305.30424194815384,346.1457187745483,216.4432835820894
labeled-data\lion10_Trim2\img061.png,441.1653574234092,153.9766692851531,,,430.60761979575807,272.75121759622925,,,256.4049489395129,292.9868813825608,,,62.84642576590724,292.10706991358984,147.30832678711698,307.06386488609576,322.39080911233305,221.72215239591503
labeled-data\lion10_Trim2\img069.png,410.3719560094265,149.57761194029842,,,407.73252160251377,273.6310290652002,,,235.28947368421046,295.62631578947355,,,47.009819324430424,295.62631578947355,119.15435978004709,312.3427336999214,290.7175962293794,219.96252945797323
labeled-data\lion10_Trim2\img071.png,402.45365278868815,152.21704634721118,,,402.45365278868815,273.6310290652002,,,222.97211311861741,300.02537313432833,,,36.4520816967792,294.7465043205027,116.51492537313428,313.22254516889234,292.47721916732127,216.4432835820894
labeled-data\lion10_Trim2\img078.png,375.1794972505891,154.85648075412394,,,383.97761194029846,275.3906520031421,,,208.0153181461115,305.30424194815384,,,17.096229379418645,294.7465043205027,88.36095836606435,317.621602513747,269.60212097407697,220.84234092694408
labeled-data\lion10_Trim2\img082.png,362.8621366849961,161.01516103692052,,,374.2996857816182,280.66952081696775,,,193.05852317360564,303.54461901021205,,,6.538491751767424,297.38593872741546,79.56284367635502,314.1023566378633,252.8857030636292,222.601963864886
labeled-data\lion10_Trim2\img085.png,353.1842105263158,159.25553809897872,376.0593087195601,154.85648075412394,366.3813825608798,276.2704634721131,,,192.17871170463468,302.6648075412411,,,3.0192458758836835,307.9436763550667,69.0051060487038,315.8619795758051,249.36645718774543,221.72215239591503
labeled-data\lion10_Trim2\img092.png,342.62647289866453,162.77478397486243,367.26119402985074,153.09685781618214,354.0640219952867,281.5493322859387,,,185.1402199528672,305.30424194815384,,,52.28868813825605,314.98216810683414,234.40966221523956,223.48177533385694,,
labeled-data\lion10_Trim2\img095.png,335.58798114689705,161.01516103692052,,,354.94383346425764,277.1502749410839,,,173.70267085624505,302.6648075412411,,,,,80.44265514532594,312.3427336999214,243.20777690494887,224.3615868028278
labeled-data\lion10_Trim2\img101.png,332.06873527101334,160.13534956794956,,,342.62647289866453,281.5493322859387,,,167.54399057344853,303.54461901021205,,,,,77.80322073841316,308.82348782403767,232.65003927729776,221.72215239591515
labeled-data\lion10_Trim2\img106.png,317.9917517674784,159.25553809897872,345.26590730557734,153.9766692851531,330.3091123330715,278.90989787902583,,,161.38531029065194,304.424430479183,,,,,62.84642576590724,317.621602513747,213.29418695993712,227.8808326787116
labeled-data\lion10_Trim2\img110.png,,,,,107.71681068342494,157.4959151610368,178.10172820109972,196.20761979575798,,,,,,,,,91.00039277297716,6.1683424980359405
labeled-data\lion10_Trim2\img117.png,,,,,143.78908091123327,219.08271798900228,182.5007855459544,221.72215239591503,,,,,,,,,69.88491751767472,10.567399842890609
labeled-data\lion10_Trim2\img125.png,,,,,147.30832678711698,239.3183817753337,185.1402199528672,225.24139827179886,,,,,,,,,62.84642576590724,7.048153967006897
labeled-data\lion10_Trim2\img132.png,,,,,156.10644147682638,243.7174391201885,189.53927729772187,231.40007855459532,,,,,,,,,58.44736842105257,9.687588373919652
labeled-data\lion10_Trim2\img140.png,,,,,157.86606441476823,239.3183817753337,,,,,,,,,,,67.24548311076194,10.567399842890609
labeled-data\lion10_Trim2\img152.png,,,,,168.42380204241942,238.43857030636286,,,,,,,,,,,75.16378633150035,8.80777690494881
labeled-data\lion10_Trim2\img168.png,,,,,156.10644147682638,253.39536527886878,,,,,,,,,,,44.37038491751761,60.71665357423399
