scorer,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas
bodyparts,reye,reye,leye,leye,frleg,frleg,flleg,flleg,brleg,brleg,blleg,blleg,tailbase,tailbase,midtail,midtail,centerbody,centerbody
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\lion10_Trim3\img003.png,,,,,,,,,,,,,,,,,288.9579732914375,248.996307934014
labeled-data\lion10_Trim3\img004.png,,,,,254.64532600157105,295.62631578947355,287.19835035349564,281.5493322859387,,,317.9917517674784,274.51084053417117,,,,,287.19835035349564,252.51555380989782
labeled-data\lion10_Trim3\img013.png,,,,,,,289.83778476040845,277.1502749410839,341.74666142969363,279.7897093479968,322.39080911233305,285.9483896307934,,,,,308.3138256087981,246.35687352710124
labeled-data\lion10_Trim3\img029.png,,,,,,,316.2321288295365,274.51084053417117,362.8621366849961,270.1117831893165,383.09780047132756,269.23197172034554,,,,,344.3860958366064,236.67894736842095
labeled-data\lion10_Trim3\img052.png,294.2368421052631,234.91932443047904,304.79457973291437,234.0395129615082,,,317.1119402985074,269.23197172034554,376.0593087195601,266.5925373134328,352.3043990573448,268.3521602513746,406.8527101335428,248.996307934014,379.5785545954438,248.11649646504316,336.467792615868,233.15970149253724
labeled-data\lion10_Trim3\img055.png,299.51571091908875,234.0395129615082,308.3138256087981,232.27989002356628,,,311.83307148468185,270.99159465828745,372.5400628436763,264.8329143754909,350.54477611940297,270.99159465828745,404.21327572662994,250.7559308719559,375.1794972505891,245.4770620581303,339.9870384917517,231.40007855459532
labeled-data\lion10_Trim3\img076.png,315.35231736056556,231.40007855459532,325.91005498821676,231.40007855459532,306.5542026708562,270.99159465828745,340.8668499607226,273.6310290652003,,,379.5785545954438,256.03479968578154,,,,,351.42458758837387,230.52026708562437
labeled-data\lion10_Trim3\img094.png,,,310.07344854673994,243.7174391201885,,,344.3860958366064,283.3089552238805,398.0545954438334,278.0300864100549,376.939120188531,282.42914375490955,398.9344069128044,257.79442262372345,,,366.3813825608798,236.67894736842095
labeled-data\lion10_Trim3\img098.png,,,310.07344854673994,244.59725058915933,347.0255302435192,295.62631578947355,333.8283582089552,288.5878240377061,403.3334642576591,281.5493322859387,386.61704634721127,283.3089552238805,414.7710133542812,258.6742340926943,,,367.26119402985074,238.43857030636286
labeled-data\lion10_Trim3\img111.png,,,55.80793401413979,227.00102120974066,139.3900235663786,294.7465043205027,114.75530243519242,296.5061272584445,230.8904163393558,285.0685781618224,259.0443833464257,280.66952081696775,299.51571091908875,262.1934799685781,261.68381775333853,256.03479968578154,181.62097407698343,216.4432835820894
labeled-data\lion10_Trim3\img115.png,,,61.966614296936314,220.84234092694408,111.23605655930868,292.10706991358984,132.35153181461112,300.02537313432833,197.4575805184603,292.9868813825608,268.722309505106,279.7897093479968,302.15514532600156,257.79442262372345,,,186.02003142183815,216.44328358208952
labeled-data\lion10_Trim3\img120.png,,,62.84642576590724,224.3615868028279,83.08208955223876,295.62631578947355,151.70738413197165,295.62631578947355,222.97211311861741,292.10706991358984,274.88098978790254,278.0300864100549,304.79457973291437,260.4338570306362,,,180.74116260801253,219.96252945797323
labeled-data\lion10_Trim3\img126.png,,,69.0051060487038,231.40007855459532,104.1975648075412,297.38593872741546,180.74116260801253,286.8282010997642,241.44815396700704,280.66952081696775,273.1213668499607,267.4723487824036,314.4725058915946,269.23197172034554,,,188.65946582875097,210.28460329929294
labeled-data\lion10_Trim3\img128.png,,,72.52435192458753,233.15970149253724,115.63511390416335,293.86669285153175,178.10172820109972,281.5493322859387,,,260.8040062843676,277.1502749410839,308.3138256087981,269.23197172034554,270.48193244304787,237.5587588373919,192.17871170463474,208.52498036135103
labeled-data\lion10_Trim3\img131.png,,,77.80322073841316,231.40007855459532,129.7120974076983,300.02537313432833,170.18342498036134,274.51084053417117,266.0828750981932,285.9483896307934,231.77022780832675,284.18876669285146,319.75137470542023,271.8714061272584,273.1213668499607,242.83762765121753,194.8181461115475,208.52498036135103
labeled-data\lion10_Trim3\img136.png,420.9296936370778,211.16441476826378,438.52592301649645,211.16441476826378,451.72309505106045,275.3906520031421,483.3963079340141,274.51084053417117,518.5887666928516,266.5925373134327,567.8582089552239,256.9146111547525,,,,,506.2714061272584,190.0489395129614
labeled-data\lion10_Trim3\img140.png,414.7710133542812,210.28460329929294,434.1268656716418,208.52498036135103,430.60761979575807,272.75121759622925,493.0742340926944,266.5925373134328,522.1080125687353,266.5925373134328,574.0168892380204,259.55404556166525,,,,,508.0310290652003,192.68837391987415
labeled-data\lion10_Trim3\img143.png,405.97289866457186,216.4432835820894,423.56912804399053,213.80384917517665,427.08837391987424,283.3089552238805,499.23291437549096,267.4723487824036,522.9878240377062,260.4338570306362,562.5793401413982,256.03479968578154,,,,,501.8723487824037,193.5681853888451
labeled-data\lion10_Trim3\img147.png,395.41516103692067,226.1212097407697,409.49214454045557,225.24139827179886,442.04516889238016,281.5493322859387,499.23291437549096,265.71272584446183,530.0263157894736,258.6742340926943,551.1417910447761,248.996307934014,,,,,490.4347996857816,190.92875098193235
labeled-data\lion10_Trim3\img155.png,,,393.65553809897875,218.20290652003132,466.6798900235664,285.9483896307934,444.68460329929303,274.51084053417117,556.4206598586018,262.1934799685781,519.4685781618225,270.1117831893165,572.2572663000785,260.4338570306362,544.1032992930086,226.1212097407697,491.3146111547526,190.92875098193235
labeled-data\lion10_Trim3\img156.png,,,391.8959151610369,220.84234092694408,471.07894736842104,282.42914375490955,439.4057344854674,278.90989787902583,553.7812254516889,263.9531029065199,522.1080125687353,267.4723487824036,,,,,489.55498821681067,193.5681853888451
labeled-data\lion10_Trim3\img168.png,,,388.3766692851532,231.40007855459532,424.4489395129615,287.70801256873517,464.92026708562446,279.7897093479968,526.5070699135899,279.7897093479968,552.0216025137471,260.4338570306362,577.5361351139042,240.19819324430466,549.3821681068342,221.72215239591503,480.75687352710133,197.08743126472893
labeled-data\lion10_Trim3\img171.png,,,372.5400628436763,221.72215239591503,395.41516103692067,287.70801256873517,474.59819324430475,275.3906520031421,,,529.1465043205027,270.99159465828745,569.6178318931658,249.87611940298495,541.4638648860958,221.72215239591503,486.03574234092696,197.96724273369978
labeled-data\lion10_Trim3\img173.png,,,359.3428908091123,219.08271798900228,397.1747839748625,292.10706991358984,477.2376276512175,278.0300864100549,537.0648075412412,275.3906520031421,514.1897093479969,275.3906520031421,562.5793401413982,259.55404556166525,539.7042419481539,222.601963864886,470.1991358994501,197.08743126472893
labeled-data\lion10_Trim3\img179.png,,,343.5062843676355,229.64045561665353,,,434.1268656716418,283.3089552238805,,,527.3868813825609,279.7897093479968,574.8967007069914,260.4338570306362,535.3051846032993,234.0395129615082,464.0404556166535,201.4864886095836
labeled-data\lion10_Trim3\img186.png,,,319.75137470542023,224.3615868028279,410.3719560094265,295.62631578947355,389.2564807541241,302.6648075412411,481.6366849960723,289.4676355066771,524.747446975648,268.3521602513746,539.7042419481539,259.55404556166525,,,441.1653574234092,197.08743126472893
